,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expressed,fdr_hypothesis,fdr,corrected
6153,PCDHB14,56122,NORMAL,9.062759682479183e-05,232.0,True,True,0.00017151530840800602,False
6154,PHC1,1911,NOT,0.004207151483171727,341.0,True,True,0.006291969688493774,False
6155,SLFN5,162394,NOT,0.0019122743216462618,316.0,True,True,0.0029968737101006234,False
6156,COMMD7,149951,NOT,0.07649809104336511,454.0,False,False,0.09611641012249125,False
6157,CHERP,10523,NOT,1.2389409082689218e-06,125.0,True,True,3.160003571585062e-06,False
6158,NES,10763,NOT,2.9937649854285763e-09,23.0,True,True,1.8583287863197503e-08,False
6159,SERPINE1,5054,NOT,0.5398874509526412,574.0,False,False,0.5799375522451733,False
6160,AKNA,80709,NOT,1.1545779354322477e-09,7.0,True,True,1.093136886055739e-08,False
6161,SLC6A14,11254,NOT,2.776905161409715e-06,152.0,True,True,6.668200815033754e-06,False
6162,GPM6B,2824,NORMAL,4.798864940250759e-07,116.0,True,True,1.3315193036111765e-06,False
6163,TEX30,93081,NORMAL,2.931003305984109e-07,97.0,True,True,8.519784975748862e-07,False
6164,ZNF497,162968,NORMAL,0.09587474145721818,465.0,False,False,0.11848877941575649,False
6165,PARL,55486,NORMAL,5.365943352795552e-09,33.0,True,True,2.8716440960205438e-08,False
6166,ZMYM2,7750,NORMAL,4.3442728460721745e-05,201.5,True,True,8.592082233339138e-05,False
6167,NUFIP1,26747,NOT,0.00022216596965950796,255.0,True,True,0.0003965609760144658,False
6168,HIC2,23119,NORMAL,0.00034817239568259514,267.0,True,True,0.0006051592851812889,False
6169,C16orf3,750,NORMAL,0.0029010146250489075,329.0,True,True,0.004429078890651337,False
6170,ADAM33,80332,NORMAL,1.2658797980080207e-08,48.0,True,True,5.6302969903678055e-08,False
6171,CXCL17,284340,NORMAL,1.1812325186599061e-09,1.0,True,True,1.1075794898154324e-08,False
6172,PSPH,5723,NOT,9.06805772149548e-10,3.0,True,True,1.093136886055739e-08,False
6173,SKP1,6500,NORMAL,1.0622989525465147e-06,132.0,True,True,2.7430813759702605e-06,False
