,Hugo_Symbol,Entrez_Gene_Id,Normality_NormalSample,Normality_CancerSample,p,stat,expressed,fdr_hypothesis,fdr,corrected
4259,ANKRD20A2,441425,NORMAL,NOT,0.0014322767405187543,1712.0,True,True,0.0022587712883386413,False
4260,SLC2A6,11182,NOT,NOT,5.104661334182028e-06,1912.0,True,True,1.059001135438868e-05,False
4261,CLEC12A,160364,NOT,NOT,8.980520636615908e-17,2457.0,True,True,2.0296623220049857e-15,False
4262,MYO1G,64005,NORMAL,NOT,8.927841503143363e-14,2332.0,True,True,5.763395439716053e-13,False
4263,BSDC1,55108,NORMAL,NOT,0.00019106006353982147,1791.5,True,True,0.0003323494711157402,False
4264,UNC5A,90249,NOT,NOT,0.4339316980871405,1364.0,False,False,0.47838020033018724,False
4265,TMEM185A,84548,NOT,NOT,6.432066453137897e-07,527.5,True,True,1.4712368713870248e-06,False
4266,SLC19A2,10560,NOT,NOT,1.810553529513944e-08,2067.0,True,True,4.9380031926670955e-08,False
4267,C22orf15,150248,NOT,NOT,3.553950132067094e-11,2211.0,True,True,1.3975526640441394e-10,False
4268,TNR,7143,NORMAL,NOT,1.571335716338378e-13,2318.0,True,True,9.578272582831855e-13,False
4269,TMEM38B,55151,NOT,NOT,0.0004673893405784838,742.0,True,True,0.0007780064423292838,False
4270,TSPAN9,10867,NORMAL,NOT,0.009825414564281123,1625.0,True,True,0.013941613722089848,False
4271,PON1,5444,NORMAL,NOT,1.4797464545349523e-07,2012.5,True,True,3.646593438244123e-07,False
4272,IQCG,84223,NOT,NOT,0.9149015895261621,1234.0,False,False,0.9277918255019699,False
4273,GPNMB,10457,NORMAL,NOT,0.0002799325525649791,722.5,True,True,0.0004782273383662989,False
4274,TRIM2,23321,NOT,NOT,3.220869692501821e-05,646.5,True,True,6.125787067925681e-05,False
4275,SPIRE1,56907,NORMAL,NOT,3.2411198730491235e-09,2109.0,True,True,9.717172128935023e-09,False
4276,KCTD14,65987,NOT,NOT,1.2523417585639184e-13,2325.5,True,True,7.77369884268476e-13,False
4277,FAM19A5,25817,NOT,NOT,0.17883219174560738,1445.5,False,False,0.21127931284402732,False
4278,AL590708.2,0,NORMAL,NOT,0.010269592545205944,886.0,True,True,0.014539191216065618,False
4279,PRELID2,153768,NORMAL,NOT,2.907826722102295e-07,505.5,True,True,6.921578055103756e-07,False
