,Hugo_Symbol,Entrez_Gene_Id,FC,log2FC,ABS,segnificant,expressed,segnificance (-log10)
9685,KRT5,3852,124.90142864553205,6.9646461686264125,6.9646461686264125,1.0,over expressed,8.885215244668862
9686,VCAM1,7412,1.2516738179431115,0.32385864969342965,0.32385864969342965,0.0,not expressed,0.23590081333112994
9687,ZNF721,170960,0.9318699917670638,-0.10179940107651281,0.10179940107651281,0.0,not expressed,1.367131557959183
9688,PER3,8863,0.575176782275729,-0.7979226541096529,0.7979226541096529,1.0,under expressed,4.844555626767667
9689,NOC3L,64318,1.4339719511839555,0.5200168048741493,0.5200168048741493,0.0,not expressed,5.825916409561609
9690,SF3A3,10946,2.0812803839305656,1.057471333769958,1.057471333769958,1.0,over expressed,6.510063967687009
9691,AMZ1,155185,0.6249674733281292,-0.6781469887755593,0.6781469887755593,1.0,under expressed,1.1346345314338369
9692,TTC1,7265,0.76760890678257,-0.3815566432596268,0.3815566432596268,0.0,not expressed,4.979030471405172
9693,GPC6,10082,1.3738273419568205,0.45820070244233624,0.45820070244233624,0.0,not expressed,0.34815885925316353
9694,ADORA1,134,0.6273386632903465,-0.6726836152638158,0.6726836152638158,1.0,under expressed,2.94997733836168
9695,SYNDIG1L,646658,0.08551102318768902,-3.547745780616668,3.547745780616668,1.0,under expressed,9.068835823031932
9696,RASSF6,166824,3.9995154596862474,1.9998252284373623,1.9998252284373623,1.0,over expressed,6.209939022275288
9697,TTLL10,254173,0.1935444387211275,-2.369263240859403,2.369263240859403,1.0,under expressed,6.080523674933575
9698,CYR61,3491,0.2688494289301004,-1.8951296877359016,1.8951296877359016,1.0,under expressed,8.600580537757534
9699,LMO4,8543,1.7688616772570596,0.822821235514153,0.822821235514153,1.0,over expressed,3.538834322622853
9700,CFHR3,10878,2.7406113954934703,1.454497775978235,1.454497775978235,1.0,over expressed,4.873261780414569
9701,HIST1H2AE,3012,8.637502972822997,3.1106143020422863,3.1106143020422863,1.0,over expressed,8.270353916400971
9702,IL1RL2,8808,3.790075905303704,1.9222267420925787,1.9222267420925787,1.0,over expressed,7.581732944580802
9703,TOX3,27324,0.6184892033848848,-0.693179683774702,0.693179683774702,1.0,under expressed,3.1147807429512153
9704,PRSS21,10942,1.7730164493569556,0.8262059210621063,0.8262059210621063,1.0,over expressed,1.6272177331019104
9705,CYB561A3,220002,1.0156121448513278,0.022349552177636022,0.022349552177636022,0.0,not expressed,0.01937432507398276
9706,TMEM132D,121256,0.3064120298067914,-1.7064551559733534,1.7064551559733534,1.0,under expressed,4.902005330355237
9707,NUDCD2,134492,1.110987066758244,0.15184202209842823,0.15184202209842823,0.0,not expressed,0.5659242993528381
9708,PCDHA13,56136,0.5291776088458882,-0.9181760769034644,0.9181760769034644,1.0,under expressed,3.5713536898422142
9709,ITGA3,3675,0.7638924722750876,-0.3885585202824009,0.3885585202824009,0.0,not expressed,3.3785329342432817
9710,HERC1,8925,0.6194894462805114,-0.6908483902914015,0.6908483902914015,1.0,under expressed,8.298573204630856
9711,PPIL2,23759,1.3933515464600306,0.47855929982602946,0.47855929982602946,0.0,not expressed,3.4421946791818754
9712,MAK16,84549,1.191995731917399,0.2533790700680054,0.2533790700680054,0.0,not expressed,1.0270344697563183
9713,NARS,4677,1.3238496782313953,0.40473931490779425,0.40473931490779425,0.0,not expressed,5.521684159239537
9714,PLEKHO2,80301,0.3635122037183892,-1.459924296221278,1.459924296221278,1.0,under expressed,8.989904124351433
9715,MUC1,4582,0.21572542731895308,-2.2127318594880765,2.2127318594880765,1.0,under expressed,8.833107922793625
9716,COL5A1,1289,2.6704101006937093,1.4170613167458803,1.4170613167458803,1.0,over expressed,5.597467769711136
9717,MMP23B,8510,0.36188470497697495,-1.4663979612586233,1.4663979612586233,1.0,under expressed,9.121654631913783
9718,CARD9,64170,0.35506276365803474,-1.4938540257216872,1.4938540257216872,1.0,under expressed,8.989904124351433
9719,GTF3C4,9329,1.356496394202863,0.43988521269713843,0.43988521269713843,0.0,not expressed,2.5110002619048823
9720,TMEM221,100130519,2.091678284697852,1.064660971679031,1.064660971679031,1.0,over expressed,1.1438300409820674
9721,CBFA2T3,863,0.4915208148165942,-1.0246755820919469,1.0246755820919469,1.0,under expressed,5.78402892897004
9722,GORASP1,64689,0.5096970445119603,-0.9722881071145462,0.9722881071145462,1.0,under expressed,9.095225458117138
9723,NOL6,65083,1.6704154700934988,0.7402069782056743,0.7402069782056743,1.0,over expressed,5.353633997027341
9724,TMEM14C,51522,0.8529234498026907,-0.22951182995087913,0.22951182995087913,0.0,not expressed,2.1990622424803115
9725,SNRPA,6626,1.7595499657251654,0.8152064827038903,0.8152064827038903,1.0,over expressed,8.651976802386294
9726,KIAA0430,9665,0.765779351617316,-0.38499933483106563,0.38499933483106563,0.0,not expressed,4.278665585268844
9727,NDUFS5,4725,1.4179677298171145,0.5038247000227212,0.5038247000227212,0.0,not expressed,4.287934357178743
9728,MAGED1,9500,1.667374524448993,0.7375781978318613,0.7375781978318613,1.0,over expressed,5.174439762721753
9729,SCG2,7857,4.535749547154263,2.1813409804357566,2.1813409804357566,1.0,over expressed,2.2455983480854425
9730,TMEM40,55287,13.076669364629703,3.708923227236389,3.708923227236389,1.0,over expressed,8.396574784349598
9731,KBTBD8,84541,0.3792948779181083,-1.3986082055964706,1.3986082055964706,1.0,under expressed,8.498261844663528
9732,TEX15,56154,11.022853957636567,3.4624258993282555,3.4624258993282555,1.0,over expressed,2.3681692444488887
9733,MAPT,4137,0.6878781286258909,-0.5397751096132378,0.5397751096132378,0.0,not expressed,2.648081096053313
9734,SAT1,6303,0.6939132750945357,-0.5271727280626065,0.5271727280626065,0.0,not expressed,4.289746147200001
9735,ZBTB26,57684,1.2939121682627546,0.3717396894228514,0.3717396894228514,0.0,not expressed,1.2855732869702876
9736,TP73,7161,4.797155549403731,2.2621792201762667,2.2621792201762667,1.0,over expressed,7.582719706824166
9737,GPC1,2817,6.019380066303388,2.5896149120142318,2.5896149120142318,1.0,over expressed,8.755243277816184
9738,PPP1R12A,4659,0.8129025213140958,-0.2988457320683736,0.2988457320683736,0.0,not expressed,2.7845937226978896
9739,TMEM184C,55751,0.9259975555703799,-0.11091970979401634,0.11091970979401634,0.0,not expressed,1.162327082906994
