,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression
13525,PRCD,768206.0,NOT,0.9999993934387884,1953.5,not
13526,LGALS3,3958.0,NOT,0.9999999999999981,2390.0,not
13527,LSMEM2,132228.0,ND,0.9999999994204186,2131.5,not
13528,SLC39A5,283375.0,ND,0.1247435210521115,1082.5,not
13529,DEFB1,1672.0,NOT,0.08031945060899226,1046.0,not
13530,IRAK2,3656.0,ND,0.999639650072749,1740.0,not
13531,SLITRK5,26050.0,NOT,0.5027503712267214,1250.5,not
13532,NT5DC4,284958.0,ND,0.12336711602759642,1081.5,not
13533,GIPC3,126326.0,NOT,0.9999999999999999,2449.5,not
13534,GGA1,26088.0,ND,0.9978677834594221,1664.0,not
13535,RBM10,8241.0,ND,2.4431899467159453e-05,660.5,expressed
13536,HSPE1,3336.0,NOT,1.9725304066842417e-14,152.5,expressed
13537,IL8,3576.0,NOT,0.4780087971739134,1241.5,not
13538,IPMK,253430.0,ND,0.5,1249.5,not
13539,CALHM2,51063.0,NOT,0.9999999999995179,2284.5,not
13540,HINFP,25988.0,NOT,0.18411547984496063,1119.0,not
13541,LPGAT1,9926.0,NOT,2.2993317630939262e-05,658.5,expressed
13542,PNISR,25957.0,ND,0.9786673403557993,1543.5,not
13543,C5orf45,51149.0,ND,0.9999999999948133,2236.0,not
13544,PLAC1,10761.0,NOT,1.608275584373412e-11,288.5,expressed
13545,ARHGAP21,57584.0,ND,0.9993584490812327,1716.5,not
13546,RRP12,23223.0,NOT,0.0019117652961757564,830.0,expressed
13547,PSMD13,5719.0,NOT,1.8707521539152032e-07,512.5,expressed
13548,EBPL,84650.0,NOT,0.22617566692983576,1140.5,not
13549,C11orf89,0.0,ND,0.9885511749641804,1579.5,not
13550,SDK2,54549.0,NOT,6.881604166784813e-05,696.5,expressed
13551,MCM2,4171.0,NOT,1.3085963472771646e-17,22.0,expressed
13552,SYTL5,94122.0,NOT,0.14813541762933485,1098.0,not
13553,STYK1,55359.0,NOT,1.777844482718591e-15,108.0,expressed
13554,LRG1,116844.0,NOT,0.9999999179938216,2009.0,not
13555,PPIP5K1,9677.0,ND,0.0004674626356441662,769.5,expressed
13556,PCF11,51585.0,NOT,0.999999999390078,2131.0,not
13557,MAGEE1,57692.0,ND,0.7268369207468586,1337.0,not
13558,RIPK4,54101.0,NOT,1.2075446518614767e-10,331.0,expressed
13559,MTL5,9633.0,ND,3.98171922262727e-18,2.0,expressed
13560,AKT1S1,84335.0,ND,1.8540572212726576e-11,290.0,expressed
13561,MEGF6,1953.0,ND,0.9999999979565852,2102.5,not
13562,C17orf61-PLSCR3,0.0,ND,0.9999813104854807,1847.5,not
13563,DCAF5,8816.0,NOT,0.9999997418402731,1977.5,not
13564,KPNA7,402569.0,NOT,0.9992934765170304,1712.5,not
13565,ATP5E,514.0,ND,0.9001435190671072,1435.5,not
13566,ZNF266,10781.0,NOT,0.9432075766119978,1479.0,not
13567,KCNV2,169522.0,NOT,0.6173185678419779,1292.5,not
13568,AXDND1,126859.0,NOT,0.0035111714669303824,858.5,expressed
13569,C1S,716.0,NOT,0.9344569309197582,1468.5,not
13570,DCUN1D5,84259.0,NOT,7.093265838410472e-17,51.0,expressed
13571,IRX2,153572.0,NOT,0.9999999999967895,2246.0,not
13572,NSL1,25936.0,NOT,0.38212017221726047,1206.0,not
13573,EFHC2,80258.0,ND,0.9999662172307282,1827.5,not
13574,DCLK3,85443.0,ND,0.02742434840180366,971.0,expressed
13575,NSUN6,221078.0,ND,0.0024537662262221925,841.5,expressed
13576,GATAD2B,57459.0,NOT,0.6426000752837476,1302.5,not
13577,IKZF3,22806.0,NOT,0.9999982556069797,1922.5,not
13578,ZMYND19,116225.0,NOT,8.714805116294571e-17,54.5,expressed
13579,GLIS1,148979.0,NOT,4.648719519789374e-06,606.5,expressed
13580,TNFAIP8,25816.0,NOT,0.5832790449274794,1280.0,not
13581,OGFR,11054.0,ND,0.9999959121198077,1896.5,not
13582,ZNF319,57567.0,NOT,0.9964882316196289,1640.5,not
13583,ICOS,29851.0,ND,0.9999999968439128,2092.0,not
13584,CLDN10,9071.0,ND,0.002646817314441925,845.0,expressed
13585,ANO6,196527.0,NOT,0.9999999999998208,2304.0,not
13586,LINC00923,91948.0,NOT,0.9370870174387979,1470.5,not
13587,ZNF652,22834.0,ND,0.9994314298891442,1721.5,not
13588,HSF4,3299.0,NOT,0.007333619536963484,895.5,expressed
13589,ARHGEF3,50650.0,NOT,1.0,2494.0,not
13590,CD96,10225.0,NOT,0.9999495112642601,1813.5,not
13591,SPIC,121599.0,NOT,0.04622382727549061,1014.0,expressed
13592,ORC4,5000.0,NOT,2.0783077770865398e-05,655.0,expressed
13593,SMC2,10592.0,NOT,7.532540698588642e-15,134.5,expressed
13594,AD000671.6,0.0,NOT,0.999997044939266,1906.5,not
13595,GPI,2821.0,NOT,7.762395421838027e-17,52.5,expressed
13596,PBXIP1,57326.0,NOT,0.9999999999992469,2275.5,not
13597,COBLL1,22837.0,ND,0.9999495718945278,1813.5,not
13598,CCPG1,9236.0,NOT,0.999999999999999,2402.0,not
13599,LCN6,158062.0,NOT,0.9999999999999999,2434.0,not
13600,ERVW-1,30816.0,NOT,0.9995285888406942,1729.0,not
13601,ICT1,3396.0,ND,1.0831434776822122e-08,437.5,expressed
13602,PDCD11,22984.0,ND,3.4358606731804456e-12,254.5,expressed
13603,TIMM50,92609.0,NOT,1.8199313371947843e-15,108.5,expressed
13604,PLAGL1,5325.0,NOT,0.999999999999995,2372.0,not
13605,HRASLS2,54979.0,ND,0.9995814187503441,1734.0,not
13606,CARM1,10498.0,NOT,1.335808614006426e-16,62.0,expressed
13607,EFCAB13,124989.0,ND,0.5137496132621374,1254.5,not
13608,ZBTB9,221504.0,ND,1.6815630803508997e-07,509.5,expressed
13609,NMD3,51068.0,NOT,1.5729153846860097e-08,447.0,expressed
13610,CNGA3,1261.0,ND,0.9996972924122672,1746.0,not
13611,PHTF2,57157.0,NOT,2.0240070750284823e-12,243.5,expressed
13612,DAGLA,747.0,ND,0.9999999999856173,2214.5,not
13613,ITGB3,3690.0,ND,0.999979530749987,1844.5,not
13614,RAB27B,5874.0,ND,0.9201970621158547,1453.5,not
13615,RNF14,9604.0,ND,0.9999999986868818,2113.0,not
13616,AC011484.1,0.0,NOT,0.9999998009324426,1981.5,not
13617,ZNF587,84914.0,NOT,6.918476982804522e-08,485.5,expressed
13618,ZFP69B,65243.0,NOT,8.890142578466807e-16,95.5,expressed
13619,KBTBD11,9920.0,ND,0.999999999999978,2344.5,not
13620,MX1,4599.0,NOT,0.9783094763896857,1542.5,not
13621,SNRK,54861.0,NOT,1.0,2494.0,not
13622,ZNF419,79744.0,NOT,0.2595690139836415,1156.0,not
13623,ISOC1,51015.0,ND,0.9999999985129561,2110.0,not
13624,KLC1,3831.0,NOT,0.9999965267883232,1901.5,not
13625,PYGO1,26108.0,NOT,0.9842626989733008,1561.5,not
13626,ENG,2022.0,ND,1.0,2475.0,not
13627,SEPT4,5414.0,NOT,0.9999999999999999,2448.0,not
13628,HPS6,79803.0,NOT,0.990106139558249,1587.5,not
13629,SAP25,100316904.0,ND,0.9640193267986679,1510.5,not
13630,TLR3,7098.0,ND,0.9999999999999991,2403.5,not
13631,EFCAB8,388795.0,NOT,0.3790330162340696,1205.0,not
13632,MUC5AC,4586.0,NOT,0.9521779423135347,1491.0,not
