,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression,fdr,fdr_hypothesis
1142,MOK,5891.0,NOT,0.7832252432554863,609.0,not,0.8083049212759739,False
1143,WDR11,55717.0,ND,4.8580216897793695e-06,164.0,expressed,1.1210013178258155e-05,True
1144,HOXB9,3219.0,NOT,1.864398944728653e-09,15.0,expressed,1.3529796104054656e-08,True
1145,WNT8B,7479.0,NOT,0.9651415679357481,536.5,not,0.969616740834047,False
1146,MYPOP,339344.0,NOT,5.063849902320951e-09,32.0,expressed,2.742257274689481e-08,True
1147,GLTSCR1,29998.0,ND,0.5022824092698657,568.0,not,0.5434969383111137,False
1148,PDCD2L,84306.0,NOT,1.226241494446336e-09,8.0,expressed,1.1075794898154324e-08,True
1149,ITSN2,50618.0,ND,1.1548334686261787e-09,7.0,expressed,1.093136886055739e-08,True
1150,FAXDC2,10826.0,NOT,7.556929455863566e-10,0.0,expressed,1.093136886055739e-08,True
1151,PIGX,54965.0,NOT,1.0235189212610724e-09,5.0,expressed,1.093136886055739e-08,True
1152,SIGLEC10,89790.0,NOT,0.0733441481003208,452.0,not,0.09242250772726253,False
1153,ANKHD1-EIF4EBP3,54882.0,NOT,5.6363761403217416e-08,75.0,expressed,1.9630725367753647e-07,True
1154,DCTD,1635.0,ND,0.3222934862214316,513.0,not,0.3629445315460089,False
1155,NACAD,23148.0,NOT,0.00012943824374041834,241.0,expressed,0.00023884273238792213,True
1156,MEAF6,64769.0,NOT,0.0005078536926375426,263.0,expressed,0.0008623130076974197,True
1157,PCSK2,5126.0,ND,7.556929455863566e-10,0.0,expressed,1.093136886055739e-08,True
1158,GGA3,23163.0,NOT,3.050941426780099e-06,154.0,expressed,7.281709470520338e-06,True
1159,DNAJC13,23317.0,ND,6.394483073164434e-06,170.0,expressed,1.4454945706479403e-05,True
1160,SLC25A37,51312.0,NOT,0.0006670378894178456,285.0,expressed,0.0011130184042976222,True
1161,BUD13,84811.0,ND,0.7245797902868737,601.0,not,0.7539977035844674,False
1162,GPX1,2876.0,ND,1.0089294427154326e-08,44.0,expressed,4.682766287724099e-08,True
1163,DOT1L,84444.0,NOT,0.7173535621498253,600.0,not,0.7478746400807623,False
1164,PHEX,5251.0,NOT,3.197509144816302e-06,155.0,expressed,7.610494692298377e-06,True
1165,FAM211B,388886.0,ND,0.21555363079600698,488.0,not,0.2510577785869081,False
1166,IFRG15,0.0,ND,0.030222575230003833,413.0,expressed,0.04027578393105888,True
1167,TTC23,64927.0,NOT,0.8205387894383639,614.0,not,0.8413846730900301,False
1168,DUSP26,78986.0,NOT,4.5364923781973155e-08,71.0,expressed,1.6262275541265536e-07,True
1169,MT1G,4495.0,ND,0.6887064978279134,596.0,not,0.7217109341812074,False
1170,ILF2,3608.0,NOT,7.556929455863566e-10,0.0,expressed,1.093136886055739e-08,True
1171,LYPD3,27076.0,ND,8.031090907046913e-10,1.0,expressed,1.093136886055739e-08,True
1172,UBR3,130507.0,NOT,0.0015698643246456522,310.0,expressed,0.002488475519201105,True
1173,RPS6KC1,26750.0,NOT,3.851211595566846e-08,68.0,expressed,1.407115925250601e-07,True
1174,TENC1,23371.0,NOT,8.031090907046913e-10,1.0,expressed,1.093136886055739e-08,True
1175,LGALS9,3965.0,NOT,2.5235927599199303e-05,189.0,expressed,5.1708059456312175e-05,True
1176,FAM19A3,284467.0,ND,3.050941426780099e-06,154.0,expressed,7.281709470520338e-06,True
1177,PDIA3,2923.0,NOT,9.215887201256198e-09,35.0,expressed,4.384589683329684e-08,True
1178,C8orf47,203111.0,ND,0.42327221109755275,532.0,not,0.4652896879866512,False
1179,CDH11,1009.0,NOT,0.06592260128484191,447.0,not,0.08367471985272917,False
1180,ZNF221,7638.0,NOT,0.9884471006904338,636.0,not,0.989592794229339,False
1181,C9orf16,79095.0,ND,0.0056806973485465425,351.0,expressed,0.008353966689039033,True
1182,HOMER2,9455.0,NOT,0.0018507023987258224,315.0,expressed,0.002904510198415909,True
1183,GID8,54994.0,ND,1.1100954635085601e-09,0.0,expressed,1.093136886055739e-08,True
1184,AC062017.1,0.0,ND,0.0009786462689256885,296.0,expressed,0.0015938638913633703,True
1185,ZBBX,79740.0,ND,1.1153757566448746e-06,133.0,expressed,2.8676908207815842e-06,True
1186,BRPF1,7862.0,NOT,2.11615211152453e-05,197.0,expressed,4.3859061459611585e-05,True
1187,ARSG,22901.0,ND,0.11672770019947837,475.0,not,0.14230564720860894,False
