,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression
12742,CCL13,6357.0,NOT,0.9999546862015876,1043.0,not
12743,PPP2R2A,5520.0,ND,0.11010431776728946,510.5,not
12744,N4BP1,9683.0,NOT,0.9979596195473696,935.0,not
12745,RUNDC3B,154661.0,NOT,0.9999991778689036,1134.0,not
12746,THBS1,7057.0,ND,0.9999999853700615,1212.0,not
12747,GRK5,2869.0,ND,0.9999999996221536,1275.0,not
12748,TMEM74,157753.0,NOT,0.0001557638977356123,264.0,expressed
12749,TRPV6,55503.0,NOT,0.025303994065077783,435.0,expressed
12750,TMEM8B,51754.0,NOT,0.9999509204715638,1041.0,not
12751,BX088651.1,0.0,NOT,1.7014986030293533e-06,106.0,expressed
12752,UBXN11,91544.0,NOT,0.9999999952346001,1232.0,not
12753,COL4A3BP,10087.0,ND,0.9999999993715967,1223.0,not
12754,USP9Y,8287.0,ND,0.9910012201005953,586.0,not
12755,PDIK1L,149420.0,NOT,0.007301842837823623,367.0,expressed
12756,CTD-2410N18.5,0.0,NOT,0.01897107737877492,422.5,expressed
12757,APLP2,334.0,NOT,0.9999999990675993,1260.0,not
12758,PARP10,84875.0,NOT,0.9998755646548406,1017.0,not
12759,PTGES3L-AARSD1,100885848.0,ND,0.0006917889137969882,291.0,expressed
12760,GLOD4,51031.0,NOT,0.4826754942287923,633.0,not
12761,PCLO,27445.0,NOT,0.003589357078056206,359.0,expressed
12762,CYP19A1,1588.0,NOT,0.0014505073125244538,329.0,expressed
12763,KIAA1671,85379.0,NOT,0.04400766790208341,441.0,expressed
12764,SRRM2,23524.0,ND,0.9992406910695256,966.0,not
12765,ZNF665,79788.0,NOT,0.9999721404901282,1055.0,not
12766,FLOT1,10211.0,NOT,0.9999837879305115,1068.0,not
12767,PRMT3,10196.0,ND,5.436224530789367e-10,6.0,expressed
12768,STK16,8576.0,ND,0.8434583627863896,742.0,not
12769,EMR2,30817.0,NOT,0.816625990511466,731.0,not
12770,EXOC3,11336.0,ND,6.160303336913067e-06,173.0,expressed
12771,EML1,2009.0,NOT,0.9999994422320603,1142.0,not
12772,PKM,5315.0,ND,4.267113368232725e-10,2.0,expressed
12773,SNX13,23161.0,NOT,0.09061473012127091,499.0,not
12774,BANP,54971.0,NOT,0.0008666548190907423,313.0,expressed
12775,SNAI2,6591.0,NOT,1.3305413172214887e-09,21.0,expressed
12776,SCNN1G,6340.0,ND,0.999999980743942,1207.0,not
12777,SCGB3A1,92304.0,NOT,0.999999999386744,1267.0,not
12778,GBP5,115362.0,ND,0.4788288913586081,632.0,not
12779,GNPNAT1,64841.0,NOT,3.379734936966881e-09,37.0,expressed
12780,FKBP1C,0.0,NOT,0.2330551109955451,562.0,not
12781,CYP27C1,339761.0,ND,1.4629938452962844e-08,63.0,expressed
12782,AC007390.5,0.0,ND,5.1071378375460466e-05,235.0,expressed
12783,INADL,10207.0,NOT,0.852537993594642,746.0,not
12784,TCF7L2,6934.0,NOT,0.999999760056753,1159.0,not
12785,USHBP1,83878.0,ND,0.9999999996221536,1275.0,not
12786,TAS1R1,80835.0,ND,0.9999468606446684,1039.0,not
12787,DYRK3,8444.0,NOT,0.9999998401193189,1167.0,not
